cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"14546","13764","1014657","1119628","New Era Bank","Fredericktown","MO","63645","6/30/2018","8/15/2018","NM","101 South Mine La Motte","NEW ERA BANCORPORATION, INC.","8","0","0","4","1","Madison","","","1/1/1934","7/3/1934","7/26/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.newerabank.com","5947","571","5376","83","1433","0","463","0","970","3376","1801","465","1110","3350","0","0","3350","0","3350","0","3350","9","2103","0","3350"
"32306","8122","918776","0","New Foundation Savings Bank","Cincinnati","OH","45239","6/30/2018","8/15/2018","SA","8249 Clara Avenue","","1","0","0","5","0","Hamilton","17140","Cincinnati, OH-KY-IN","10/28/1891","4/12/1985","1/3/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.newfoundationsavingsbank.com","418","122","296","0","932","0","3","","929","1265","900","63","302","-37","0","-3","-34","0","-11","-23","-34","0","0","0","-34"
"35597","0","2917184","1097173","NEW FRONTIER BANK","Saint Charles","MO","63303","6/30/2018","8/15/2018","NM","1771 Zumbehl Road","LINCOLN COUNTY BANCORP, INC.","2","0","0","4","1","Saint Charles","41180","St. Louis, MO-IL","10/16/2000","10/16/2000","7/8/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.newfb.com","1594","110","1484","267","520","0","67","","453","1671","877","171","623","66","0","0","66","0","66","0","66","-14","0","0","66"
"58857","0","3816154","0","New Horizon Bank, National Association","Powhatan","VA","23139","6/30/2018","8/15/2018","N","1870 Stoneridge Commerce Dr","","1","0","0","4","0","Powhatan","40060","Richmond, VA","10/7/2009","10/7/2009","6/11/2018","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.newhorizonbank.com","1977","307","1670","8","108","0","44","","64","1400","764","182","454","370","0","78","292","0","292","0","292","21","0","0","292"
"1931","0","165758","1143904","New Market Bank","Elko New Market","MN","55020","6/30/2018","8/15/2018","NM","101 Old Town Road","MARKET BANCORPORATION, INC.","3","0","0","4","0","Scott","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/10/1905","1/1/1934","5/11/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.newmarketbank.com","1912","97","1815","0","163","0","50","","113","1568","819","277","472","410","0","145","265","0","265","0","265","0","0","0","265"
"34726","0","2649122","1206546","New Mexico Bank & Trust","Albuquerque","NM","87102","6/30/2018","8/15/2018","NM","320 Gold Street, S.W.","HEARTLAND FINANCIAL USA, INC.","17","0","0","4","0","Bernalillo","10740","Albuquerque, NM","5/4/1998","5/4/1998","8/21/2015","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Albuquerque","Kansas City","Western","West","0","0","http://www.nmb-t.com","29416","1148","28268","-325","6486","993","1733","0","3760","18330","6895","1556","9879","16749","685","3947","13487","0","13487","0","13487","-53","2000","0","12945.85"
"35151","0","2833882","5011832","New Millennium Bank","Fort Lee","NJ","7024","6/30/2018","8/15/2018","NM","222 Bridge Plaza South","NMB FINANCIAL CORPORATION","7","0","1","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","7/19/1999","7/19/1999","11/22/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","http://WWW.NMBONLINE.COM","8492","1636","6856","821","2004","0","56","","1948","5379","3041","856","1482","2660","0","748","1912","0","1912","0","1912","237","0","36","1912"
"23086","15473","300063","4357252","New OMNI Bank, National Association","Alhambra","CA","91801","6/30/2018","8/15/2018","N","1235 South Garfield Avenue","CKH CAPITAL, INC.","3","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","2/12/1980","2/12/1980","3/16/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","http://www.newomnibank.com","11834","2373","9461","380","84","0","4","0","80","5866","4197","463","1206","3299","0","978","2321","0","2321","0","2321","0","945","8682","2321"
"34890","0","2736451","3049617","New Peoples Bank, Inc.","Honaker","VA","24260","6/30/2018","8/15/2018","SM","53 Commerce Drive","NEW PEOPLES BANKSHARES, INC.","24","0","1","4","0","Russell","","","10/28/1998","10/28/1998","6/29/2007","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.newpeoplesbank.com","13940","1523","12417","126","3557","0","1693","0","1864","15337","7314","2257","5766","511","0","62","449","0","449","0","449","1034","0","0","449"
"34860","15223","2754222","0","New Republic Savings Bank","Roanoke Rapids","NC","27870","6/30/2018","8/15/2018","SA","420 Becker Drive","","3","0","0","4","0","Halifax","","","12/15/1998","12/15/1998","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","www.nrsb.net","1655","437","1218","-184","-165","0","8","","-173","1183","687","76","420","54","0","23","31","0","31","0","31","0","0","-8","31"
"7659","11349","331713","1138106","New Tripoli Bank","New Tripoli","PA","18066","6/30/2018","8/15/2018","SM","Market And Madison Streets","NEW TRIPOLI BANCORP, INC.","2","0","0","5","0","Lehigh","10900","Allentown-Bethlehem-Easton, PA-NJ","3/10/1910","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.newtripolibank.net","9077","1938","7139","400","309","0","119","","190","4222","2587","302","1333","2826","134","271","2689","0","2689","0","2689","173","1244","0","2567.06"
"32749","10675","1438589","2132932","New York Commercial Bank","Westbury","NY","11590","6/30/2018","8/15/2018","NM","615 Merrick Ave.","NEW YORK COMMUNITY BANCORP, INC.","31","0","0","4","0","Nassau","35620","New York-Newark-Jersey City, NY-NJ-PA","1/29/1990","1/29/1990","12/31/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.newyorkcommercialbank.com","56924","12500","44424","10634","3590","0","1391","0","2199","31970","18745","6805","6420","5410","-62","791","4557","0","4557","0","4557","9482","0","0","4609.7"
"16022","11158","694904","2132932","New York Community Bank","Westbury","NY","11590","6/30/2018","8/15/2018","SB","615 Merrick Avenue","NEW YORK COMMUNITY BANCORP, INC.","228","0","1","4","0","Nassau","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1859","7/1/1943","6/28/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","https://www.mynycb.com","765093","264542","500551","3651","41925","0","6412","178","35335","226996","135319","41412","50265","311829","-707","81744","229378","0","229378","0","229378","2197","190000","0","229936.53"
"58203","0","3472859","0","NewBank","Flushing","NY","11354","6/30/2018","8/15/2018","NM","146-01 Northern Boulevard","","5","0","1","4","0","Queens","35620","New York-Newark-Jersey City, NY-NJ-PA","9/29/2006","9/29/2006","1/1/2010","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.newbankusa.com","8626","1880","6746","570","4230","0","562","","3668","5210","2358","963","1889","5196","0","1359","3837","0","3837","0","3837","94","1200","0","3837"
"90251","8496","67209","4267472","Newburyport Five Cents Savings Bank","Newburyport","MA","1950","6/30/2018","8/15/2018","SB","63 State Street","NEWBURYPORT FIVE CENTS BANCORP MHC","9","0","1","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","4/1/1854","7/1/1985","6/13/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.newburyportbank.com","17157","3540","13617","502","742","0","162","","580","10040","6313","1098","2629","3817","798","1107","3508","0","3508","0","3508","109","862","0","2877.58"
"57888","0","3299814","0","NewDominion Bank","Charlotte","NC","28204","6/30/2018","8/15/2018","NM","1111 Metropolitan Avenue","","3","0","0","4","0","Mecklenburg","16740","Charlotte-Concord-Gastonia, NC-SC","1/10/2005","1/10/2005","6/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.newdominionbank.com","7108","1091","6017","-305","1150","0","45","","1105","6080","3506","628","1946","1392","-754","-2455","3093","0","3093","0","3093","-10","0","318","3847"
"14646","0","632410","1830361","Newfield National Bank","Newfield","NJ","8344","6/30/2018","8/15/2018","N","18-24 West Boulevard","NEWFIELD BANCORP, INC.","11","0","0","4","0","Gloucester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1934","7/31/1934","4/27/2010","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.newfieldbank.com","11280","996","10284","300","907","0","189","0","718","8560","4932","1437","2191","2331","0","284","2047","0","2047","0","2047","11","638","0","2047"
"3183","0","938859","3213922","NewFirst National Bank","El Campo","TX","77437","6/30/2018","8/15/2018","N","200 East Jackson Street","NEWFIRST FINANCIAL GROUP, INC.","9","0","0","4","1","Wharton","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","WWW.NEWFIRST.COM","16608","1250","15358","500","3817","0","1002","","2815","10068","6135","861","3072","8607","0","0","8607","0","8607","0","8607","1808","6489","0","8607"
"29089","2892","894272","0","Newport Federal Bank","Newport","TN","37821","6/30/2018","8/15/2018","SA","170 West Broadway","","3","0","0","5","0","Cocke","","","8/1/1934","11/1/1934","5/11/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.newportfederalbank.com","3581","575","3006","0","325","0","169","","156","2103","1076","288","739","1228","0","335","893","0","893","0","893","140","200","0","893"
"29510","3575","321273","0","Newton Federal Bank","Covington","GA","30014","6/30/2018","8/15/2018","SA","3175 Highway 278","","3","0","0","4","0","Newton","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1928","1/20/1947","4/27/2017","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.newtonfederal.com","6712","812","5900","318","1578","0","345","","1233","6055","3724","1137","1194","1105","0","53","1052","0","1052","0","1052","924","0","67","1052"
