,Tot Dom Deposits to Tot Assets,Return On Assets,Assets per Emp,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Efficiency Ratio,Core Capital Ratio,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Number Employees,Return on Equity
166,89.25474616,2.069741282,3.556894737,5.791713531,79.87969992,9.35494115,63.61590398,8.883620594,1.038013643,0.88723778,76.0,23.15662563
169,86.40788573,0.150844241,10.221,3.725389273,74.84345954,1.137093077,82.76836158,13.30047463,1.054202133,1.010960454,8.0,1.137093077
170,89.13812483,1.03258487,4.033066667,4.909407479,58.65511769,9.827504352,76.62721893,11.29769848,0.130587146,0.327056834,30.0,9.827504352
171,86.48082265,1.270016662,5.097209486000001,3.789066513,57.94207324,0.772499681,65.36813011,8.269155702,0.36507614,0.192900371,506.0,16.3701047
172,77.64205375,1.137827733,5.27158427,5.488393172,83.60704306,8.732846195,67.88556102,13.47660263,0.356586405,1.010122247,89.0,8.732846195
173,82.21727299,0.8429834340000001,5.544217391,4.206577587,74.34302877,9.157631359,83.53133961,9.563741716000001,2.57063764,1.034010116,23.0,9.157631359
174,80.16990291,1.5083712930000002,3.261666667,5.298656847,71.73607563,10.80534975,68.66002215,14.12692936,0.038323965,0.807893504,48.0,10.80534975
178,84.83839899,0.698586838,11.71757143,2.65112972,32.21413506,4.64002642,68.68798236,15.55769136,0.008534192,0.403255086,7.0,4.689564068999999
180,85.79044375,0.597173403,4.762444444,4.692923471,83.12491251,6.540350877000001,80.38688877,8.559132743,0.016331481999999998,0.386807557,18.0,7.157894737
181,89.62548176,1.24172209,3.985829787,4.849358554,80.239839,8.54959959,64.42829122,10.1478531,0.290657329,0.437096193,94.0,12.52042579
182,79.69914494,0.657771375,5.864153846000002,4.159478522,83.89321542,6.0815822,75.10664571,10.78136824,0.46476335,0.6793002309999999,169.0,6.0815822
183,90.65286648,1.01270997,3.123952381,4.152237748,54.43348627,11.48891059,74.70967742,9.005842615,0.198161669,0.077431007,21.0,11.48891059
184,83.39059232,1.348837841,5.924235294,4.462142272,71.65845844,12.04997191,60.00960154,11.49358731,0.0,0.613222567,51.0,12.04997191
185,84.04568394,1.034330151,4.2027894739999985,3.582289045,43.9219566,6.566763027,61.44949884,16.0299947,0.500920441,0.385249905,19.0,6.566763027
186,88.27924591,1.356517138,4.113710526,4.51106107,72.7909238,9.04519266,64.45627622,9.102313866,0.123783753,0.73312225,152.0,14.02404503
187,72.23767314,0.305157999,3.841631579,4.698703238999999,68.45295995,3.036062515,92.15747055,10.14655755,1.3261909,0.76807149,38.0,3.036062515
188,85.14138462,0.429692716,3.228815534,3.22227387,30.34988333,3.089132568,86.36815920000002,13.97215688,0.061040148,0.07566983599999999,103.0,3.089132568
190,85.51249658,1.15331613,7.381797753,4.555963185,72.51697159999998,12.18075457,61.08396602,9.374343434,0.58373162,0.554856173,89.0,12.18075457
191,74.179126,0.8737529709999999,3.617565217,4.229053114,64.37490986,2.468931059,76.10253583,10.08332881,0.14903129699999998,0.369440506,46.0,8.853237635
