,Tot Dom Deposits to Tot Assets,Return On Assets,Net Op Inc to Assets,Pretax ROA,Assets per Emp,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Net Interest Margin,Efficiency Ratio,Core Capital Ratio,Equity to Assets,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Noncurrent Loans to Loans,Number Employees,Return on Equity
5189,86.13182005,1.266492652,1.266492652,1.669965897,5.9595078410000015,0.491419613,2.019721209,3.695013132,74.82450927,8.459016185,3.320796454,54.38057548,9.473011462,9.230508587000001,0.540337363,0.374216678,0.644880715,829.0,13.89288294
5191,88.37434264,0.5106518,0.385684838,0.5106518,4.121649351,0.296875829,3.032193297,3.916689746,52.98030356,4.525056022,3.480508242,86.48453049,12.01137015,11.08716407,1.179391682,0.436181503,2.204228255,77.0,4.525056022
5192,84.22947056,1.617036753,1.60973842,2.022550342,7.282622951,2.352799879,3.454848058,3.854041794,68.00198091,10.00501735,3.31039983,62.88086343,11.20434095,10.77795786,0.000675311,0.543641964,0.000982885,61.0,15.02872309
5193,86.88693188,1.248998701,1.248998701,1.720289618,5.469416667000001,0.250421906,2.347122092,4.602777908999999,81.34627398,11.10061261,3.989832917,57.70554493,11.41980428,11.33499916,0.204165587,0.6129449920000001,0.248624679,24.0,11.10061261
5198,92.17583633,1.235421996,1.235421996,1.235421996,3.375866667,0.185998557,2.412107605,3.77100048,47.66874679,6.666380221,3.5625125310000003,66.41509434,7.800775294,7.7115999839999985,0.663533315,0.208487949,0.684931507,30.0,16.43158562
5199,83.82038334,1.065859684,1.074624525,1.462018228,6.3582530120000005,0.547850347,2.417504431,4.426399766,83.53671824,8.710134149,3.748378205,60.28429689,9.82251642,11.41178811,0.182856926,0.67802156,0.216148172,166.0,9.453227012000001
5200,77.70072225,0.961440621,0.973710706,0.999784634,6.200434783,0.522614695,2.648577192,4.265966829,59.98807938,4.244787419,3.545840318,70.83175085,12.91876814,11.88556202,0.066615244,0.7201265109999999,0.109716239,23.0,7.916587004
5201,80.26523554,1.300935188,1.300172487,1.7153518330000002,5.280248408,1.207287163,2.808233935,4.308884603,79.5943059,14.44214147,3.542310793,61.59995765,9.27165838,9.286380321000001,0.181061738,0.76657381,0.224844998,157.0,14.44214147
5202,81.20262051,0.8347108679999999,0.8347108679999999,0.8347108679999999,6.6515762710000015,0.45393018,2.81726376,4.0736747489999985,72.16759292,7.739631921,3.402172755,77.1435743,8.908953763,9.78256715,0.015288844,0.671501995,0.020927531,177.0,7.9689154539999985
5204,85.23455524,1.158122528,1.158122528,1.226774121,4.1448125,0.77904634,3.53107977,5.319035515,68.16200974,2.4744557030000003,4.721315615,70.96580684,13.70668925,13.53951475,0.954506386,0.5977199000000001,1.277857735,16.0,8.649448765
5207,88.08991642,0.432256824,0.432256824,0.5334977639999999,3.275951311,1.63268511,4.084162153,3.897110573,79.06774943,3.886312054,3.393196025,86.6366292,10.72006733,10.97145353,1.246171453,0.503914548,1.474065121,267.0,3.886312054
5208,79.39268276,2.43211417,2.43211417,2.435628786,4.271714286,0.431126211,2.930018082,6.3486881,95.21938332,18.92061321,5.37874964,52.37394958,10.37765409,10.20946202,1.401244064,0.96993846,1.453590901,42.0,23.66216447
5211,89.91507961,0.121256099,0.121256099,0.121256099,4.52416129,0.333089044,2.585822839,3.220923519,64.92024899,0.346812006,2.535853061,95.52077712,10.10261037,9.376180935,0.017825439,0.685070458,0.027222736,31.0,1.251538978
5212,82.18629235,1.557788409,1.557788409,1.898754409,6.272282609,0.93055304,2.573582949,4.845513744,70.04523005,11.00608848,4.0347381,55.06079027,14.74372151,14.11870722,0.529243566,0.810775645,0.698216051,46.0,11.00608848
5213,91.10708601,0.7416477459999999,0.7416477459999999,0.965466855,6.946965251,0.700742072,2.49292188,3.3911021210000003,68.23929118,9.335937214,2.947964587,70.52403182,7.961307662999999,7.70870756,0.149616732,0.443137534,0.155418392,259.0,9.335937214
5214,86.59645865,0.7993477720000001,0.8114699059999999,0.7993477720000001,2.36915,1.021824583,3.762852983,4.468238523,71.38776917,1.681098632,3.862704203,80.38971161,9.128515486,9.129153212,2.156891712,0.60553432,2.554083163,120.0,8.527201659
5215,81.19193085,1.301119187,1.301119187,1.609105627,4.23938843,0.733320656,2.599767894,4.361872509,73.57856076,6.298297037,3.841854821,60.85402377,9.281848161000001,8.886943774,0.365716246,0.520017689,0.332267933,121.0,14.30813705
5216,81.16832219,1.4167699180000002,1.409154471,1.69451946,3.773652632,1.204680258,3.3571705260000004,4.600571385,80.307785,8.167582367,4.194219264,65.57687112,8.641418819,8.330195232000001,0.23500894,0.406352121,0.289840115,190.0,17.499053699999994
5217,88.10066407,0.709701811,0.8077041309999999,0.903956237,4.0809,0.389470506,2.743603344,4.783713627,56.07096474,4.777347382,4.211593291,67.05052879,11.90738109,11.30289887,1.870665785,0.572120335,1.95782092,50.0,6.410331577999999
5218,83.66949491,0.919984484,0.919984484,1.166272878,4.909712329,0.444898967,2.8409211130000003,4.728768335,70.19689796,7.44034996,4.096418553,65.27080223,8.748708919,10.3831098,0.495523271,0.632349782,0.606164579,146.0,8.851872024
5219,87.04666490000002,0.41674119,0.41674119,0.490955375,2.8504590160000003,0.978485479,4.324974323,4.513082838,78.66722645,-0.826131855,4.314127252,89.80559507,9.649488165,10.57925672,0.5268061510000001,0.198955586,0.60044617,61.0,3.967606935
5221,87.01094155,2.312216316,2.340887799,2.473478582,5.587266667000001,0.313038517,2.672684911,5.768887662999999,68.10247109,-9.185096392,5.430140617,49.77915194,13.31053563,12.65496546,2.310014438,0.338747046,2.901693515,15.0,18.09185653
5222,86.33224229999998,1.5145651480000002,1.5145651480000002,1.5145651480000002,3.97754717,0.884850048,2.962240983,4.482964657,74.11887482,6.69689571,3.919095807,65.8593584,9.891148911,9.525639201,2.184431479,0.563868849,2.609539762,53.0,15.79550551
5223,86.9919446,0.481215013,0.481215013,0.554676653,4.104770492,1.002875198,3.581461303,4.346705954,76.90092695,-1.027773154,3.579219743,83.10668454,8.889797233,9.066619807,0.128199496,0.7674862109999999,0.133163323,61.0,5.121296997
5224,72.66173479,1.822579378,1.766401894,2.348019969,5.160408344,2.309834615,3.0607458160000003,4.435898393,78.67315158,15.56126855,3.456499262,55.21724849,10.36476406,10.27449831,0.82775523,0.979399131,0.820587011,791.0,17.7817692
5225,91.9534562,0.891730949,0.891730949,1.230948486,5.037225806,2.068713009,3.429437902,2.717215842,28.44755818,8.78232395,2.657916757,73.58698649,7.925930672000001,7.575854605,0.0,0.059299085,0.0,31.0,11.85784596
5226,81.48107445,1.3234864,1.3234864,1.742102954,6.422999999999999,0.623354782,2.261260603,4.828183656,76.24437912,5.801464049,3.703917605,50.59602649,12.97185934,13.53591413,1.389308643,1.124266051,1.552319578,17.0,9.906273517
5227,87.16851329,1.497697776,1.497697776,1.497697776,3.304986842,0.35107156799999995,2.059723657,3.695822558,42.02023258,5.619633334,3.543626708,57.00129255,8.629108133999999,10.58687231,0.15725837,0.15219585,0.370488482,76.0,14.30181817
