,Fed RSSD,Bank Name,Yield on Earning Assets,Cost of Funding Earnings Assets,Net Interest Margin,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Loan Lease Loss Prov to Assets,Net Op Inc to Assets,Return On Assets,Pretax ROA,Return on Equity,RE to Ave Equity,Net Chargeoffs to Loans,Credit Loss Prov to Chargeoffs,Efficiency Ratio,Assets per Emp,Cash Div to Net Inc,Earning Assets to Total Asst Ratio,Loss Allow to Loans,Loan Loss Allow to noncurr Loans,Noncurr Assets Other RE,Noncurrent Loans to Loans,Net Loans Lease to Tot Assets,Net Loans Lease to Deposits,Net Loans Lease to core deposits,Tot Dom Deposits to Tot Assets,Equity to Assets,Core Capital Ratio,Tier 1-based risk capital ,Total risk based  Capt ratio,Common Equity tier 1,Average Total Assets.1,Average earning assets,Average equity,Average Total Loans,Bank Size
4771,342362,The First National Bank of Shiner,3.423207838,0.900940156,2.522267683,0.159806586,1.181191591,0.025821531,1.322280437,1.343867236,1.355343472,12.81152359,12.81152359,0.33986591200000005,46.39175258,46.49350649,12.66749091,0.0,94.23893948,1.596983195,338.6404293,0.08023401299999999,0.471586691,16.74192493,18.74933694,21.28506361,89.29342397,10.33210279,10.56117835,26.48116485,27.16257807,26.48116485,697092.67,657979.33,73121.67,114162.67,Medium
4772,591366,The First National Bank of Sonora,4.668562178,0.5390793620000001,4.129482816,0.439799294,3.162366355,0.095194652,0.970509482,0.970509482,0.970509482,8.976184496,5.397156544,0.037818759,357.14285710000007,74.79455139,4.780767442,39.87248651,91.25420167,1.766358892,399.689441,0.324702174,0.441932839,69.63438778,87.39819281,97.49535167,79.67486003,11.15516143,10.91447663,16.58139207,17.83971841,16.58139207,420191.67,385472.0,45431.33,296149.33,Medium
4773,794336,The First National Bank of South Miami,4.225560759,0.563853529,3.66170723,0.42135444,2.591175,0.097668664,0.920674932,0.920674932,1.280388342,9.655803519,9.655803519,0.046292783,282.1138211,65.28152035,5.774319672000001,0.0,96.91497259999998,1.2874989140000002,227.053455,0.43550656,0.567046608,75.81377126,88.84561896,92.93927867,85.33203117,9.841199091,9.85362103,13.32662603,14.57805024,13.32662603,710565.67,688476.67,67752.0,531400.33,Medium
4774,246947,The First National Bank of Sparta,4.230283956,0.223989566,4.00629439,1.159485256,3.235170915,0.13458311,1.438460514,1.3846531519999998,1.392417562,10.96423814,8.62793319,0.08273651,325.0,67.16818915,3.84545,21.30841121,91.83840643,1.359888367,262.745098,0.565603505,0.517569453,50.55195101,60.65934409,61.36980679,83.33745075,12.85545255,13.53738729,26.22025625,27.47101891,26.22025625,77275.67,70539.0,9759.0,38677.0,Medium
4776,381950,The First National Bank of St. Ignace,3.3530152980000003,0.5834616,2.769553698,0.402491911,2.544812063,0.022782561,0.36224272,0.354648533,0.332625391,4.640993789,1.142857143,-0.077896327,-90.90909091,87.5163228,4.570122807,75.37473233,90.26284372,1.284073773,41.55405405,1.3842769780000002,3.090128755,32.66947412,36.55988349,38.42659695,89.35880259999998,7.595097064,7.729230672999999,14.73593216,15.560888,14.73593216,263359.33,238233.33,20125.0,84728.0,Medium
4777,458665,The First National Bank of Stanton,2.880678547,0.025195439,2.855483108,0.191565518,1.619419846,0.0,1.133593892,0.99140093,1.100020554,11.75873282,11.02088405,-0.021670036,0.0,56.28002745,11.57926316,6.274900398,93.12336936,2.496987827,469.53125,0.116360463,0.5318043960000001,21.33396362,23.19659978,23.40574073,91.97021899,7.84614965,9.747034371,22.31494162,23.56955502,22.31494162,202541.67,190510.67,17076.67,46146.67,Medium
4778,411062,The First National Bank of Sterling City,2.70083108,0.184536422,2.516294658,0.186101693,1.712135575,0.040709745,0.8281525340000001,0.8281525340000001,0.8281525340000001,15.0730418,11.34712136,0.34190813299999995,71.42857143,65.38981523,8.52975,24.71910112,96.48875993,1.281354089,739.2156863,0.029895366,0.173339678,17.02570415,17.9596102,19.44357047,94.79996483,4.936252528,8.101436528999999,27.057671600000006,27.79594634,27.057671600000006,171949.0,163653.33,9447.33,28662.67,Medium
4779,319458,The First National Bank of Stigler,3.790079295,0.300740644,3.489338651,0.572974962,2.126653152,0.107769585,1.69377865,1.69377865,1.69377865,23.97560235,7.271497636,0.122394017,240.0,54.13808871,4.815695652,69.67126193,95.73586371,1.12584253,1089.849550892263,0.0,0.0,36.15622828,38.96683922,39.80933825,92.78717238,6.795713293,8.06074145,17.27163941,18.13778563,17.27163941,111348.67,107069.0,7866.33,40851.67,Medium
4780,115100,The First National Bank of Suffield,3.868125938,0.241035918,3.627090019,0.33244665100000004,2.7883326360000003,0.261883577,0.573234051,0.573234051,0.708540565,5.67137614,2.072787219,-0.003496285,-9000.0,74.18231082,5.705571429,63.45177665,94.02302797,0.962071052,44.03276131,1.834225766,2.184898297,83.14250661,99.6335175,103.172715,83.44833013,9.960904665,10.21962658,16.07044705,17.32147765,16.07044705,274931.33,259712.33,27788.67,228814.33,Medium
4781,553926,The First National Bank of Sycamore,3.447473329,0.543547624,2.903925705,0.274192494,2.462165089,0.111347206,0.446780663,0.446780663,0.392498901,4.224982281,4.224982281,0.021531396,1142.857143,83.01267011,5.82824,0.0,92.52192772,1.360365104,92.62948207,0.68905879,1.46860921,46.28086695,57.17313709,61.62577108,80.94862257,10.3084293,10.61080847,18.40806719,19.54550342,18.40806719,143694.67,133199.0,15195.33,65021.33,Medium
