,Tot Dom Deposits to Tot Assets,Pretax ROA,Return On Assets,Net Op Inc to Assets,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Net Interest Margin,RE to Ave Equity,Efficiency Ratio,Net Loans Lease to Tot Assets,Return on Equity
3007,83.60202796,1.61968351,1.245111954,1.245111954,0.1006379,2.11023686,4.167309956,9.355444038,51.72566372,82.88972701,14.26847435
3008,86.00884774,1.381830547,1.091722476,1.085691282,0.241247764,3.075145548,4.861527606,0.970616572,69.11461908,66.77377354,11.37689917
3009,85.67250546,0.813935338,0.771432187,0.75729989,0.348525837,3.323746393,4.004645027,7.155056782000001,80.6185567,65.11453013,7.155056782000001
3010,85.83945959,1.015520437,0.827632919,0.827632919,0.246805332,2.191093204,3.635696209,8.707961146,59.58117825,87.19156335,8.707961146
3011,92.06778033,1.285676299,1.285676299,1.285676299,0.468236882,3.003247136,4.194057551,11.86218963,69.48299153,71.51179952,16.66989343
3012,70.39345624,2.08727604,1.4951315319999998,1.4951315319999998,0.079092363,1.127876151,3.202490988,7.663045632999999,34.97842662,91.31290511,11.24725781
3013,90.60031268,1.101627901,1.038911461,1.038911461,0.23586835,2.180077987,3.614804996,8.398950131,59.6196868,81.57556137,11.76470588
3014,75.52408949,1.111700453,0.927482251,0.927482251,0.194556978,1.613789041,2.8165711260000004,7.808773982000001,56.00861169,84.87988507,7.808773982000001
3015,85.4965588,1.044689949,0.769431931,0.769431931,0.196410524,2.136593966,3.2991079130000003,8.131618115,65.07213728,82.40906498,8.131618115
3016,91.2001212,1.229398745,1.229398745,1.229398745,0.379737064,2.831414484,3.963985911,7.850989393,69.07932831,59.16464665,15.17467353
3017,80.14342405,0.740381283,0.579191262,0.572408011,0.410195429,2.731643964,3.325416965,5.888071101,77.03059652,81.80255009999998,5.888071101
3020,80.74499809,1.333758423,0.935028315,0.935028315,0.21077730600000005,1.840710839,3.084460491,7.11650683,57.94326241,73.05807408,7.11650683
3021,78.70227252,1.584531395,1.5286136819999998,1.5286136819999998,1.028885913,2.833556514,3.67990838,7.747262598,63.23064771,69.47362599,12.46570072
3022,83.7234373,-0.048536141,-0.033601944,-0.033601944,0.224012957,3.84555576,3.821401967,-0.274278609,101.2782694,70.55674323,-0.274278609
3023,90.17231056,0.458684835,0.380896179,0.380896179,0.394308016,3.594372393,4.006578295,3.89254386,86.11825193,89.08123212,3.89254386
3024,56.62874477,-9.37913079,-7.416056902999999,-7.416056902999999,0.038005639,10.7043709,2.99213524,-13.66431961,397.4675726,58.70977305,-13.66431961
3025,74.29332823,1.649910716,1.371664098,1.371664098,0.929527164,2.339106186,3.208415579,5.534080006,58.47002913,57.62501467,8.231393537
